"Code";"Product label";"Exported value in 2003";"Exported value in 2004";"Exported value in 2005";"Exported value in 2006";"Exported value in 2007";"Exported value in 2008";"Exported value in 2009";"Exported value in 2010";"Exported value in 2011";"Exported value in 2012";"Exported value in 2013";"Exported value in 2014";"Exported value in 2015";"Exported value in 2016";"Exported value in 2017";"Exported value in 2018";"Exported value in 2019";"Exported value in 2020";"Exported value in 2021";"Exported value in 2022"
"'310530";"Diammonium hydrogenorthophosphate ""diammonium phosphate"" (excl. that in tablets or similar ...";187480;169600;201128;250901;379138;556772;426977;858530;1214175;1147443;729453;776074;603765;607097;796871;1271422;939489;1391742;1983471;3458926
"'870322";"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...";154;38;0;68;15011;8739;103;216;58186;156525;329837;1079008;1054759;1395613;1682384;2107521;2054644;1775361;2586182;3389603
"'280920";"Phosphoric acid; polyphosphoric acids, whether or not chemically defined";507748;713155;861974;897193;1106980;2945756;999254;1633333;2117394;1649844;1433671;1523131;1649823;1138528;1096644;1477068;1413013;1200014;2204279;2254490
"'310540";"Ammonium dihydrogenorthophosphate ""monoammonium phosphate"", whether or not mixed with diammonium ...";120350;155382;138635;168734;236700;359355;140933;399515;709236;848998;691868;654685;608446;715663;811963;1026339;1042180;1117906;2138153;2056357
"'854430";"Ignition wiring sets and other wiring sets for vehicles, aircraft or ships";1496;1419;67305;99879;239595;296663;482438;1075276;1205300;950060;1149521;1251319;1237521;1360902;1616389;1915199;2156375;1698805;1677065;1654677
"'251010";"Natural calcium phosphates and natural aluminium calcium phosphates, natural and phosphatic ...";362620;420784;518104;577642;742872;2281656;552711;1066957;1560097;1543526;1082093;977560;1023670;756017;862979;884160;760461;773549;994759;1322481
"'880730";"Parts of aeroplanes, helicopters or unmanned aircraft, n.e.s. (excl. those for gliders)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1238950
"'870331";"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...";5;55;6;582;36395;48531;7247;11355;154097;175599;352731;165236;102025;192309;268178;140822;224515;824531;1037615;1106926
"'070200";"Tomatoes, fresh or chilled";118920;112902;141254;136658;263401;262690;303092;299705;430619;401903;429078;481422;528500;511816;580423;684872;784486;767038;855760;1028188
"'310559";"Mineral or chemical fertilisers containing the two fertilising elements nitrogen (excl. nitrate) ...";0;0;4;0;488;125;153;9;29;30201;47897;69308;196010;287515;386470;263726;354167;395746;507879;924509
"'854442";"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.";0;0;0;0;0;0;0;0;0;0;0;0;799324;714804;658590;758409;806798;674385;760734;894349
"'310311";"Superphosphates containing by weight => 35 % of diphosphorus pentaoxide ""P2O5"" (excl. such ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;291423;352225;361810;277705;551415;818103
"'854449";"Electric conductors, for a voltage <= 1.000 V, insulated, not fitted with connectors, n.e.s.";8770;3500;172084;176693;78033;83218;46799;8616;18297;8641;5228;18546;228807;304991;424309;520893;465560;531959;570470;665111
"'854129";"Transistors with a dissipation rate >= 1 W (excl. photosensitive transistors)";595683;621768;619522;709887;685179;578750;480217;580097;597689;502634;491561;500221;399523;412768;440398;469940;444184;295916;458916;662039
"'870323";"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...";704;608;463;97;10691;2276;45179;49135;39936;86784;171282;155736;248357;239078;217394;369660;393377;340019;513340;649370
"'030752";"Octopus ""Octopus spp."", frozen";0;0;0;0;0;0;0;0;0;0;0;0;0;0;544902;597489;432537;407927;689184;580230
"'160413";"Prepared or preserved sardines, sardinella and brisling or sprats, whole or in pieces (excl. ...";221624;231334;262694;306918;305606;399568;394018;392769;296990;416933;444551;471754;412411;417297;463078;506184;500690;526713;459669;538367
"'870870";"Road wheels and parts and accessories thereof, for tractors, motor vehicles for the transport ...";505;1022;765;1184;891;951;772;1516;105;140;167;161;94;69;99;70;43010;154135;320620;469666
"'620640";"Women's or girls' blouses, shirts and shirt-blouses of man-made fibres (excl. knitted or crocheted ...";54142;36067;27229;47895;65063;58193;50106;46754;90656;114053;155037;183040;166833;185849;201147;220510;197136;185914;278396;466507
"'854420";"Coaxial cable and other coaxial electric conductors, insulated";1899;3983;3020;3831;5319;6287;4757;7102;3772;1000;2796;4198;4025;8332;7313;19626;29404;31244;184614;451593
"'170199";"Cane or beet sugar and chemically pure sucrose, in solid form (excl. cane and beet sugar containing ...";0;1;25;23;22;24;28;1879;537;31;3356;3527;79667;172800;219131;158593;201262;286096;324112;433621
"'310520";"Mineral or chemical fertilisers containing the three fertilising elements nitrogen, phosphorus ...";41;2;9;535;173;258;3247;10565;856;545;26534;112608;147984;216060;277539;251082;210430;199550;509483;432155
"'271019";"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...";90293;195653;253213;236733;335133;431843;324739;182156;535954;784805;1065926;740004;314890;189111;232191;331662;384552;131079;181696;371887
"'853690";"Electrical apparatus for switching electrical circuits, or for making connections to or in ...";10297;12551;10286;12427;17474;27921;75341;131021;140835;139639;134880;266806;319091;398616;452681;527331;488504;459372;383141;357099
