"Code";"Product label";"Exported value in 2003";"Exported value in 2004";"Exported value in 2005";"Exported value in 2006";"Exported value in 2007";"Exported value in 2008";"Exported value in 2009";"Exported value in 2010";"Exported value in 2011";"Exported value in 2012";"Exported value in 2013";"Exported value in 2014";"Exported value in 2015";"Exported value in 2016";"Exported value in 2017";"Exported value in 2018";"Exported value in 2019";"Exported value in 2020";"Exported value in 2021";"Exported value in 2022"
"'3105";"Mineral or chemical fertilisers containing two or three of the fertilising elements nitrogen, ...";307875;324997;339857;420208;616728;916675;571350;1268677;1924444;2036456;1504140;1646973;1556542;1826653;2273280;2812893;2546847;3105279;5139863;6872455
"'8703";"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...";3009;2786;2604;2236;62886;61905;53348;64934;264674;836598;1501083;2293199;2420060;2946002;3197026;3573074;3442217;2974891;4211995;5247004
"'8544";"Insulated ""incl. enamelled or anodised"" wire, cable ""incl. coaxial cable"" and other insulated ...";419542;426926;719339;869968;1261378;1475929;1145007;1659500;2103175;1761428;2085026;2426281;2341246;2458562;2781390;3302398;3549374;3042345;3342335;3854157
"'2809";"Diphosphorus pentaoxide; phosphoric acid; polyphosphoric acids, whether or not chemically defined";507748;713155;861974;897193;1106980;2945756;999254;1633333;2117394;1649844;1433671;1523131;1649823;1138528;1096644;1477111;1413013;1200014;2204279;2254490
"'6204";"Women's or girls' suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, ...";828001;885387;796487;919600;966073;953419;930444;957865;991530;987310;1046631;1128659;938908;1003488;1110189;1210470;1176377;866087;1264467;1371871
"'8807";"Parts of aircraft and spacecraft of heading 8801, 8802 or 8806, n.e.s.";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1329274
"'2510";"Natural calcium phosphates and natural aluminium calcium phosphates, natural and phosphatic ...";362620;420784;518104;577642;742872;2281656;552711;1066957;1560097;1543526;1082093;977560;1023670;756018;862979;884162;760462;773549;994759;1322481
"'0702";"Tomatoes, fresh or chilled";118920;112902;141254;136658;263401;262690;303092;299705;430619;401903;429078;481422;528500;511816;580423;684872;784486;767038;855760;1028188
"'8708";"Parts and accessories for tractors, motor vehicles for the transport of ten or more persons, ...";35934;45298;68410;80112;64176;89924;50071;52501;90025;113974;90381;97899;103893;113121;135874;174633;327525;580651;795879;1002078
"'0307";"Molluscs, fit for human consumption, even smoked, whether in shell or not, live, fresh, chilled, ...";383571;238869;352543;370045;475275;578963;429375;367083;476678;490964;537599;560453;620606;751860;828075;835415;744916;775818;1168866;943838
"'3103";"Mineral or chemical phosphatic fertilisers (excl. those in tablets or similar forms, or in ...";63470;106192;104343;112746;259537;491424;125982;292587;393401;379827;419888;413620;314349;305220;305452;352225;361810;277815;553619;818112
